State,Population,Number of Persons in Poverty,Median Household Income,Per Capita Income,Year,Poverty Rate
Alaska,683142.0,64038.0,64635.0,29382.0,2009,9.374039365168588
Alabama,4633360.0,757833.0,41216.0,22732.0,2009,16.356013778337967
Arkansas,2838143.0,488788.0,38542.0,20977.0,2009,17.22210614475733
Arizona,6324865.0,914040.0,50296.0,25203.0,2009,14.451533748151146
California,36308527.0,4694423.0,60392.0,29020.0,2009,12.929257636918182
Colorado,4843211.0,563574.0,56222.0,29679.0,2009,11.636370994367166
Connecticut,3494487.0,295608.0,67721.0,36468.0,2009,8.45926741178319
District of Columbia,588433.0,102142.0,56519.0,40846.0,2009,17.358305873395953
Delaware,863832.0,88505.0,57618.0,28935.0,2009,10.245626464405117
Florida,18222420.0,2346946.0,47450.0,26503.0,2009,12.879441918252352
Georgia,9497667.0,1384518.0,49466.0,25098.0,2009,14.577453599920906
Hawaii,1280241.0,117745.0,64661.0,28662.0,2009,9.197096484177589
Iowa,2978880.0,326922.0,48052.0,25060.0,2009,10.974661617789236
Idaho,1492573.0,196121.0,46183.0,22262.0,2009,13.139792827553492
Illinois,12785043.0,1549172.0,55222.0,28469.0,2009,12.117065230050459
Indiana,6342469.0,810520.0,47465.0,24044.0,2009,12.779250478007857
Kansas,2777835.0,328843.0,48394.0,25522.0,2009,11.838104135054818
Kentucky,4252000.0,719746.0,41197.0,22284.0,2009,16.927234242709314
Louisiana,4411546.0,789634.0,42167.0,22535.0,2009,17.89925799254955
Massachusetts,6511176.0,633667.0,64496.0,33460.0,2009,9.731990042966125
Maryland,5637418.0,449770.0,69475.0,34236.0,2009,7.97829786615078
Maine,1316380.0,161582.0,46541.0,24980.0,2009,12.274723104270803
Michigan,10039208.0,1417380.0,48700.0,25172.0,2009,14.118444403183997
Minnesota,5188581.0,506233.0,57007.0,29431.0,2009,9.75667528366619
Missouri,5904382.0,784278.0,46005.0,24423.0,2009,13.282982029279273
Mississippi,2922240.0,604204.0,36796.0,19534.0,2009,20.67605672360929
Montana,956257.0,136969.0,43089.0,22881.0,2009,14.323450704151707
North Carolina,9045705.0,1320816.0,45069.0,24547.0,2009,14.601581634598961
North Dakota,639725.0,75114.0,45140.0,24978.0,2009,11.741607722068077
Nebraska,1772124.0,201851.0,47995.0,24568.0,2009,11.390342887969465
New Hampshire,1315419.0,98780.0,63033.0,30640.0,2009,7.509394345071799
New Jersey,8650548.0,745925.0,68981.0,34566.0,2009,8.622864123752622
New Mexico,1964860.0,347165.0,42742.0,22461.0,2009,17.668688863328686
Nevada,2545763.0,278516.0,55585.0,27395.0,2009,10.94037426107615
New York,19423896.0,2615897.0,55233.0,30634.0,2009,13.467416629495958
Ohio,11511858.0,1526350.0,47144.0,24830.0,2009,13.258937002176365
Oklahoma,3610073.0,572111.0,41861.0,22561.0,2009,15.847629673970582
Oregon,3727407.0,496433.0,49033.0,25893.0,2009,13.318454357144255
Pennsylvania,12516596.0,1462191.0,49737.0,26678.0,2009,11.68201801831744
Puerto Rico,3940109.0,1752629.0,18627.0,10056.0,2009,44.481738956967945
Rhode Island,1057381.0,118618.0,55569.0,28638.0,2009,11.218094518437535
South Carolina,4416867.0,676555.0,43572.0,23196.0,2009,15.317531634980181
South Dakota,796513.0,103752.0,44828.0,23445.0,2009,13.025776101582773
Tennessee,6158953.0,967189.0,42943.0,23557.0,2009,15.703789264181752
Texas,23819042.0,3892532.0,48199.0,24318.0,2009,16.342101416169466
Utah,2651816.0,271944.0,55642.0,22684.0,2009,10.255010151533893
Virginia,7721730.0,752446.0,60316.0,31606.0,2009,9.744526161883412
Vermont,620414.0,65749.0,51284.0,27036.0,2009,10.597600956780473
Washington,6465755.0,749120.0,56384.0,29320.0,2009,11.585963278843693
Wisconsin,5599420.0,605566.0,51569.0,26447.0,2009,10.814798675577112
West Virginia,1811403.0,310368.0,37356.0,20891.0,2009,17.134122003772767
Wyoming,523949.0,49051.0,51990.0,26925.0,2009,9.361789029084893
Alabama,4712651.0,786544.0,42081.0,22984.0,2010,16.69005406935502
Alaska,691189.0,64245.0,66521.0,30726.0,2010,9.294852782668706
Arizona,6246816.0,933113.0,50448.0,25680.0,2010,14.9374177180823
Arkansas,2872684.0,502684.0,39267.0,21274.0,2010,17.498757259761256
California,36637290.0,4919945.0,60883.0,29188.0,2010,13.42879072114777
Colorado,4887061.0,584184.0,56456.0,30151.0,2010,11.953687502570563
Connecticut,3545837.0,314306.0,67740.0,36775.0,2010,8.864084840899341
Delaware,881278.0,93857.0,57599.0,29007.0,2010,10.650101330113767
District of Columbia,584400.0,101767.0,58526.0,42078.0,2010,17.413928815879533
Florida,18511620.0,2502365.0,47661.0,26551.0,2010,13.5178066533345
Georgia,9468815.0,1445752.0,49347.0,25134.0,2010,15.268563172899672
Hawaii,1333591.0,124627.0,66420.0,28882.0,2010,9.345219036421211
Idaho,1526797.0,203177.0,46423.0,22518.0,2010,13.307401049386394
Illinois,12745359.0,1572048.0,55735.0,28782.0,2010,12.334277912454251
Indiana,6417398.0,842540.0,47697.0,24058.0,2010,13.128997141832249
Iowa,3016267.0,338263.0,48872.0,25335.0,2010,11.214623904316163
Kansas,2809329.0,338792.0,49424.0,25907.0,2010,12.059534500943107
Kentucky,4285828.0,735782.0,41576.0,22515.0,2010,17.167791147941543
Louisiana,4429940.0,780359.0,43445.0,23094.0,2010,17.615565899312404
Maine,1327665.0,162358.0,46933.0,25385.0,2010,12.228837846896619
Maryland,5696423.0,476732.0,70647.0,34849.0,2010,8.368971194730447
Massachusetts,6477096.0,658391.0,64509.0,33966.0,2010,10.164910324009401
Michigan,9952687.0,1444004.0,48432.0,25135.0,2010,14.508684941061645
Minnesota,5241914.0,542133.0,57243.0,29582.0,2010,10.342271925865248
Mississippi,2941991.0,604272.0,37881.0,19977.0,2010,20.539559774316103
Missouri,5922314.0,802596.0,46262.0,24724.0,2010,13.552067654636346
Montana,973739.0,138109.0,43872.0,23836.0,2010,14.183369465534398
Nebraska,1799125.0,206227.0,49342.0,25229.0,2010,11.462627666226638
Nevada,2633331.0,308426.0,55726.0,27589.0,2010,11.712390124902642
New Hampshire,1313939.0,99527.0,63277.0,31422.0,2010,7.574704761788789
New Jersey,8721577.0,777968.0,69811.0,34858.0,2010,8.920038199513689
New Mexico,2013122.0,361771.0,43820.0,22966.0,2010,17.970644600774317
New York,19229752.0,2650166.0,55603.0,30948.0,2010,13.781592191100541
North Carolina,9271178.0,1399945.0,45570.0,24745.0,2010,15.099968957558577
North Dakota,659858.0,78405.0,46781.0,25803.0,2010,11.882101906773881
