"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2016"	"2016"	"Alabama"	"01"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Male"	"M"	11	90281	Unreliable
	"2016"	"2016"	"Alabama"	"01"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Male"	"M"	13	73771	Unreliable
	"2016"	"2016"	"Alabama"	"01"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Male"	"M"	17	72068	Unreliable
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"25-34 years"	"25-34"	"Female"	"F"	19	212894	Unreliable
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"25-34 years"	"25-34"	"Male"	"M"	42	214594	19.6
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"35-44 years"	"35-44"	"Female"	"F"	29	204588	14.2
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"35-44 years"	"35-44"	"Male"	"M"	58	205339	28.2
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	25	232779	10.7
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"45-54 years"	"45-54"	"Male"	"M"	35	231901	15.1
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"55-64 years"	"55-64"	"Female"	"F"	18	242067	Unreliable
	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	"55-64 years"	"55-64"	"Male"	"M"	32	229451	13.9
	"2016"	"2016"	"Alaska"	"02"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	12	32277	Unreliable
	"2016"	"2016"	"Arizona"	"04"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Male"	"M"	17	22066	Unreliable
	"2016"	"2016"	"Arizona"	"04"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Male"	"M"	10	16992	Unreliable
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"15-24 years"	"15-24"	"Female"	"F"	15	375126	Unreliable
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"15-24 years"	"15-24"	"Male"	"M"	50	398868	12.5
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"25-34 years"	"25-34"	"Female"	"F"	46	367341	12.5
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"25-34 years"	"25-34"	"Male"	"M"	114	391653	29.1
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"35-44 years"	"35-44"	"Female"	"F"	59	346297	17.0
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"35-44 years"	"35-44"	"Male"	"M"	101	353502	28.6
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	69	363952	19.0
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"45-54 years"	"45-54"	"Male"	"M"	115	360419	31.9
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"55-64 years"	"55-64"	"Female"	"F"	71	385191	18.4
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"55-64 years"	"55-64"	"Male"	"M"	105	350695	29.9
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"65-74 years"	"65-74"	"Female"	"F"	29	330639	8.8
	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	"65-74 years"	"65-74"	"Male"	"M"	23	296636	7.8
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"15-24 years"	"15-24"	"Male"	"M"	15	157440	Unreliable
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"25-34 years"	"25-34"	"Female"	"F"	21	151914	13.8
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"25-34 years"	"25-34"	"Male"	"M"	37	154464	24.0
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"35-44 years"	"35-44"	"Female"	"F"	36	144831	24.9
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"35-44 years"	"35-44"	"Male"	"M"	26	146941	17.7
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	31	155904	19.9
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"45-54 years"	"45-54"	"Male"	"M"	32	156303	20.5
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"55-64 years"	"55-64"	"Female"	"F"	24	161792	14.8
	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	"55-64 years"	"55-64"	"Male"	"M"	29	152908	19.0
	"2016"	"2016"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"25-34 years"	"25-34"	"Male"	"M"	12	511497	Unreliable
	"2016"	"2016"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"45-54 years"	"45-54"	"Male"	"M"	13	407947	Unreliable
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Male"	"M"	18	230759	Unreliable
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Male"	"M"	11	175711	Unreliable
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Female"	"F"	24	186397	12.9
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Male"	"M"	42	181192	23.2
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Female"	"F"	31	167579	18.5
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"55-64 years"	"55-64"	"Male"	"M"	61	154537	39.5
	"2016"	"2016"	"California"	"06"	"Black or African American"	"2054-5"	"65-74 years"	"65-74"	"Male"	"M"	18	80716	Unreliable
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"15-24 years"	"15-24"	"Female"	"F"	35	1956248	1.8
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"15-24 years"	"15-24"	"Male"	"M"	102	2078030	4.9
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"25-34 years"	"25-34"	"Female"	"F"	55	2064525	2.7
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"25-34 years"	"25-34"	"Male"	"M"	226	2230099	10.1
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"35-44 years"	"35-44"	"Female"	"F"	94	1829610	5.1
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"35-44 years"	"35-44"	"Male"	"M"	223	1916930	11.6
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	183	1900926	9.6
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"45-54 years"	"45-54"	"Male"	"M"	318	1948686	16.3
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"55-64 years"	"55-64"	"Female"	"F"	249	1791060	13.9
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"55-64 years"	"55-64"	"Male"	"M"	418	1737655	24.1
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"65-74 years"	"65-74"	"Female"	"F"	82	1253249	6.5
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"65-74 years"	"65-74"	"Male"	"M"	129	1117893	11.5
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"75-84 years"	"75-84"	"Female"	"F"	16	660088	Unreliable
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"75-84 years"	"75-84"	"Male"	"M"	24	518248	4.6
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	10	362182	Unreliable
	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	10	209389	Unreliable
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"15-24 years"	"15-24"	"Female"	"F"	10	309385	Unreliable
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"15-24 years"	"15-24"	"Male"	"M"	33	336648	9.8
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"25-34 years"	"25-34"	"Female"	"F"	49	355413	13.8
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"25-34 years"	"25-34"	"Male"	"M"	94	383539	24.5
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"35-44 years"	"35-44"	"Female"	"F"	37	318047	11.6
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"35-44 years"	"35-44"	"Male"	"M"	78	336794	23.2
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"45-54 years"	"45-54"	"Female"	"F"	51	320280	15.9
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"45-54 years"	"45-54"	"Male"	"M"	59	324067	18.2
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"55-64 years"	"55-64"	"Female"	"F"	44	328709	13.4
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"55-64 years"	"55-64"	"Male"	"M"	60	314138	19.1
	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	"65-74 years"	"65-74"	"Female"	"F"	13	222159	Unreliable
